tenant_empresa;bairro;cep;cidade;cnae;cnae_municipal;cnpj;codigo_empresa;codigo_pais;complemento;csc_homologacao;csc_id_homologacao;csc_id_producao;csc_producao;ecd_codigo_cadastral;ecd_codigo_instituicao_responsavel;efd_atividade_industrial;efd_perfil_arquivo_fiscal;email;endereco;endereco_numero;estado;fax_ddd;fax_numero;gera_nfse;inativa;inscricao_estadual;inscricao_municipal;inscricao_suframa;logradouro;nome_fantasia;optante_simples_nacional;pdv_sincr_analitica;razao_social;regime_tributario;sped_codigo_criterio_escrituracao;sped_codigo_incidencia_tributaria;sped_codigo_indicador_apropriacao_credito;sped_codigo_tipo_atividade;sped_codigo_tipo_contribuicao;sped_cpf_contador;sped_crc_contador;sped_email_contador;sped_junta_comercial;sped_matriz;sped_natureza_pessoa_juridica;sped_nome_contador;sped_registro_junta_comercial;sped_usa_contabilidade_terceirizada;telefone1_ddd;telefone1_numero;telefone2_ddd;telefone2_numero;website
Vieira_Serra;LAGO SUL;71610-045;BRASILIA (DF);6911701;;13.224.921/0001-80;10736874967;1058;;;;;;;;;;iran.almeida@g3sa.com.br;SETOR SHIS QL 2 CJ 4 LT 2;;DF;;;;N;;;;;VIEIRA E SERRA ADVOGADOS;N;;VIEIRA E SERRA  ADVOGADOS ASSOCIADOS;3;;;;;;;;;;;;;;;61;99822-7341;;;
Consigo_Cred;Asa Sul;70330-520;BRASILIA (DF);6619302;;46.597.802/0001-21;8150828864;1058;LOJA 59 PARTE Z2;;;;;;;;;administrativo@consigocred.com.br;Quadra Crs 502 Bloco b;S/N;DF;;;S;N;08.140.591/001-77;0814059100177;;;CONSIGOCRED SERVICOS FINANCEIROS;N;;CONSIGOCRED SERVICOS FINANCEIROS S/A;3;;;;;;;;;;;;;;;61;36865169;;;
Concimed;ASA SUL;70330-520;BRASILIA (DF);8211300;;52.970.261/0001-38;9003078562;1058;;;;;;;;;;marina.ferreira@alldax.com;QUADRA SHCS CRS 502 BLOCO B LOJA;59;DF;;;;N;;;;;CONCIMED SUPORTE ADMINISTRATIVO LTDA;N;;CONCIMED SUPORTE ADMINISTRATIVO LTDA;3;;;;;;;;;;;;;;;61;99822-7341;;;
Sante;Asa Sul;70390-090;BRASILIA (DF);8610102;;37.087.223/0001-48;1334680411;1058;BLOCO A SALA 211;;;;;;;;;contato@horuscentromedico.com.br;Q SEPS 709/909 CENTRO MEDICO JULIO ADNETE CONJUNTO;s/n;DF;;;S;N;0797901500124;0797901500124;;;SANTE CENTRO DE EXCELENCIA MEDICA E SAUDE;N;;SANTE CENTRO DE EXCELENCIA MEDICA E SAUDE LTDA;3;;;;;;;;;;;;;;;61;3532-7790;;;
Artemis;ASA SUL;70390-145;BRASILIA (DF);8630503;;54.495.679/0001-66;10441851529;1058;SALA  327 A 334 PARTE H;;;;;;;;;contato@concimedbr.com.br;QUADRA Q SEPS 714/914 CONJUNTO E EDIFICIO TALENTO;S/N;DF;;;S;N;0828933800100;0828933800100;;;ARTEMIS CENTRO MEDICO;N;;ARTEMIS CENTRO MEDICO LTDA;3;;;;;;;;;;;;;;;61;99682-5036;;;
Osiris;Asa Sul;70390-095;BRASILIA (DF);8610102;;36.782.074/0001-74;2310459178;1058;CONJ A BLOCO A SALA 211 PARTE A EDIF JULIO ADNET;;;;;;;;;contato@osiriscentromedico.com.br;Q SEPS 709/909;s/n;DF;;;S;N;0800315100177;0800315100177;;;OSIRIS CENTRO MEDICO;N;;OSIRIS CENTRO MEDICO LTDA;3;;;;;;;;;;;;;;;61;998237627;;;
Apolo;ASA SUL;70390-145;BRASILIA (DF);8610102;;52.013.193/0001-19;3493221972;1058;CONJ  E                   EDIF  TALENTO             SALA  32;;;;;;;;;financeiro@alldax.com.br;SEPS 714/914;S/N;DF;;;S;N;0824410400171;0824410400171;;;APOLO CENTRO MEDICO LTDA;N;;APOLO CENTRO MEDICO LTDA;3;;;;;;;;;;;;;;;61;3031-3100;;;
Salus;TAGUATINGA SUL;72015-020;BRASILIA (DF);8610102;;36.947.211/0001-83;2322179348;1058;LOTE 02/03 ANDAR 1 PARTE D;;;;;;;;;contato@saluscentromedico.com.br;Q QSA 2;s/n;DF;;;S;N;0797625000126;0797625000126;;;SALUS CENTRO DE EXCELENCIA MEDICA;N;;SALUS CENTRO DE EXCELENCIA MEDICA E SAUDE LTDA;3;;;;;;;;;;;;;;;61;3032-6462;;;
Holpemed;ASA SUL;70330-520;BRASILIA (DF);4645101;;30.060.762/0001-44;7070738793;1058;LOJA  59 PARTE V2;;;;;;;;;iran.almeida@g3sa.com.br;QUADRA SHCS CRS 502, BLOCO B;S/N;DF;;;;N;07851817001-94;;;;HOLPEMED;S;;HOLPEMED COMERCIO E DISTRIBUICAO DE MATERIAIS MEDICOS LTDA;1;;;;;;;;;;;;;;;61;9822-7341;;;
Atenas;ASA SUL;70390-145;BRASILIA (DF);8630503;;46.053.390/0001-69;1943014815;1058;SALA 327 a 334 PARTE D;;;;;;;;;societario@alldax.com;Q SEPS 714/914, BLOCO A, CONJUNTO A;SN;DF;;;S;N;0813167700157;0813167700157;;;ATENAS CENTRO MEDICO;N;;ATENAS CENTRO MEDICO LTDA;3;;;;;;;;;;;;;;;61;3031-3100;;;
Horus;TAGUATINGA SUL;72015-020;BRASILIA (DF);8610102;;17.704.522/0001-77;1947590410;1058;LOTE 02/03 ANDAR 1 PARTE C;;;;;;;;;contato@horuscentromedico.com.br;Q QSA 2;s/n;DF;;;S;N;0763626600181;0763626600181;;;HORUS CENTRO MEDICO;N;;HORUS CENTRO MEDICO LTDA;3;;;;;;;;;;;;;;;61;99682-5036;;;
Iris;ASA SUL;70390-145;BRASILIA (DF);8630502;;48.912.880/0001-07;6739484230;1058;CONJ E EDIF TALENTO SALA 327 A 334 PARTE F;;;;;;;;;financeiro@alldax.com;Q SEPS 714/914;S/N;DF;;;S;N;0818445300144;0818445300144;;;IRIS CENTRO MEDICO;N;;IRIS CENTRO MEDICO LTDA;3;;;;;;;;;;;;;;;61;3031-3100;;;
